Details,QTY(PCS),Unit Price,Amount,日期,主播,INV
Pink Jade Points,2,4,8,2023-04-06 00:00:00,阿禾特,MC4774
MicaPoint ,1,6,6,2023-04-06 00:00:00,阿禾特,MC4774
"Purple Mica Points 
2 Pieces(3+6)",1,9,9,2023-04-06 00:00:00,阿禾特,MC4774
"Sodalite Points 
2 Pieces(5.5+4.5)",1,10,10,2023-04-06 00:00:00,阿禾特,MC4774
Amber ChipsBag ,1,14,14,2023-04-06 00:00:00,小马,MC4774
Ocean Jasper Tower ,1,42,42,2023-04-06 00:00:00,小马,MC4774
PinkJadeRaw Stone Head ,1,6,6,2023-04-06 00:00:00,小马,MC4774
Pink Jade Sphere ,1,25,25,2023-04-06 00:00:00,小马,MC4774
Mixed Stone Bracelet ,1,7,7,2023-04-06 00:00:00,小马,MC4774
Aura 23Point ,1,15,15,2023-04-06 00:00:00,小马,MC4774
Resin Elephant Stand ,1,12,12,2023-04-06 00:00:00,阿禾特,MC4774
Golden Strawberry Quartz Sphere ,1,22,22,2023-04-06 00:00:00,阿禾特,MC4774
Tapestries ,2,10,12,2023-04-06 00:00:00,阿禾特,MC4774
Moss Agate Sphere ,1,9,9,2023-04-06 00:00:00,阿禾特,MC4774
Red Mexican Druzy Lace Agate Tower ,1,19,19,2023-04-05 00:00:00,小马,MC4774
Citrine Clusters ,1,18,18,2023-04-05 00:00:00,小马,MC4774
Red Calcite Specimen ,1,8,8,2023-04-05 00:00:00,小马,MC4774
"Vanadinite Raw Stone   
2 Pieces(7+6)",1,13,13,2023-04-05 00:00:00,小马,MC4774
Blue kyanite Bracelet ,1,16,16,2023-04-05 00:00:00,小马,MC4774
Purple Mica Point ,1,7,7,2023-04-05 00:00:00,小马,MC4774
 Fireworks Agate Hearts,2,5,10,2023-04-05 00:00:00,小马,MC4774
Rainforest Jasper Bracelets ,3,3,9,2023-04-05 00:00:00,小马,MC4774
Orange Calcite Banana ,1,19,19,2023-04-05 00:00:00,小马,MC4774
Fluorite Slab ,1,16.5,16.5,2023-04-05 00:00:00,小马,MC4774
Strawberry Quartz Strawberry ,2,9,18,2023-04-05 00:00:00,小马,MC4774
Luminous Penis ,1,6,6,2023-04-05 00:00:00,小马,MC4774
